^NSEI,NSEI
ACC.NS,ACC
AMBUJACEM-EQ.NS,AMBUJACEM-EQ
AXISBANK.NS,AXISBANK
BAJAJ-AUTo-EQ.NS,BAJAJ-AUTo-EQ
BHEL.NS,BHEL
BPCL-EQ.NS,BPCL-EQ
BHARTIART.NS,BHARTIART
CAIRN.NS,CAIRN
CIPLA-EQ.NS,CIPLA-EQ
COALINDIA-EQ.NS,COALINDIA-EQ
DLF.NS,DLF
DRREDDY.NS,DRREDDY
GAIL.NS,GAIL
GRASIM.NS,GRASIM
HCLTECH.NS,HCLTECH
HDFCBANK-EQ.NS,HDFCBANK-EQ
HEROMOTOC.NS,HEROMOTOC
HINDALCO-EQ.NS,HINDALCO-EQ
HINDUNILVR-EQ.NS,HINDUNILVR-EQ
HDFC.NS,HDFC
ITC.NS,ITC
ICICIBANK.NS,ICICIBANK
INFY.NS,INFY
IDFC.NS,IDFC
JPASSOCIA.NS,JPASSOCIA
JINDALSTEL-EQ.NS,JINDALSTEL-EQ
KOTAKBANK-EQ.NS,KOTAKBANK-EQ
LT.NS,LT
M&M.NS,M&M
MARUTI.NS,MARUTI
NTPC.NS,NTPC
ONGC.NS,ONGC
POWERGRID.NS,POWERGRID
PNB.NS,PNB
RANBAXY.NS,RANBAXY
RCOM.NS,RCOM
RELIANCE.NS,RELIANCE
RELINFRA.NS,RELINFRA
RPOWER.NS,RPOWER
SESAGOA.NS,SESAGOA
SIEMENS.NS,SIEMENS
SBIN.NS,SBIN
SAIL-EQ.NS,SAIL-EQ
STER.NS,STER
SUNPHARMA.NS,SUNPHARMA
TCS.NS,TCS
TATAMOTOR.NS,TATAMOTOR
TATAPOWER-EQ.NS,TATAPOWER-EQ
TATASTEEL.NS,TATASTEEL
WIPRO.NS,WIPRO